00000 Successful_Completion
01000 Warning
0100C Warn_Dynamic_Result_Sets_Returned
01008 Warn_Implicit_Zero_Bit_Padding
01003 Warn_Null_Value_Eliminated_In_Set_Function
01007 Warn_Privilege_Not_Granted
01006 Warn_Privilege_Not_Revoked
01004 Warn_String_Data_Right_Truncation
01P01 Deprecated_Feature
02000 No_Data
02001 No_Additional_Dynamic_Result_Sets_Returned
03000 SQL_Statement_Not_Yet_Complete
08000 Connection_Exception
08003 Connection_Does_Not_Exist
08006 Connection_Failure
08001 SQL_Client_Unable_To_Establish_SQL_Connection
08004 SQL_Server_Rejected_Establishment_Of_SQL_Connection
08007 Transaction_Resolution_Unknown
08P01 Protocol_Violation
09000 Triggered_Action_Exception
0A000 Feature_Not_Supported
0B000 Invalid_Transaction_Initiation
0F000 Locator_Exception
0F001 Invalid_Locator_Specification
0L000 Invalid_Grantor
0LP01 Invalid_Grant_Operation
0P000 Invalid_Role_Specification
21000 Cardinality_Violation
22000 Data_Exception
2202E Array_Subscript_Error
22021 Character_Not_In_Repertoire
22008 Datetime_Field_Overflow
22012 Division_By_Zero
22005 Error_In_Assignment
2200B Escape_Character_Conflict
22022 Indicator_Overflow
22015 Interval_Field_Overflow
2201E Invalid_Argument_For_Logarithm
2201F Invalid_Argument_For_Power_Function
2201G Invalid_Argument_For_Width_Bucket_Function
22018 Invalid_Character_Value_For_Cast
22007 Invalid_Datetime_Format
22019 Invalid_Escape_Character
2200D Invalid_Escape_Octet
22025 Invalid_Escape_Sequence
22P06 Nonstandard_Use_Of_Escape_Character
22010 Invalid_Indicator_Parameter_Value
22020 Invalid_Limit_Value
22023 Invalid_Parameter_Value
2201B Invalid_Regular_Expression
22009 Invalid_Time_Zone_Displacement_Value
2200C Invalid_Use_Of_Escape_Character
2200G Most_Specific_Type_Mismatch
22004 Null_Value_Not_Allowed
22002 Null_Value_No_Indicator_Parameter
22003 Numeric_Value_Out_Of_Range
22026 String_Data_Length_Mismatch
22001 String_Data_Right_Truncation
22011 Substring_Error
22027 Trim_Error
22024 Unterminated_C_String
2200F Zero_Length_Character_String
22P01 Floating_Point_Exception
22P02 Invalid_Text_Representation
22P03 Invalid_Binary_Representation
22P04 Bad_Copy_File_Format
22P05 Untranslatable_Character
2200L Not_An_XML_Document
2200M Invalid_XML_Document
2200N Invalid_XML_Content
2200S Invalid_XML_Comment
2200T Invalid_XML_Processing_Instruction
23000 Integrity_Constraint_Violation
23001 Restrict_Violation
23502 Not_Null_Violation
23503 Foreign_Key_Violation
23505 Unique_Violation
23514 Check_Violation
24000 Invalid_Cursor_State
25000 Invalid_Transaction_State
25001 Active_SQL_Transaction
25002 Branch_Transaction_Already_Active
25008 Held_Cursor_Requires_Same_Isolation_Level
25003 Inappropriate_Access_Mode_For_Branch_Transaction
25004 Inappropriate_Isolation_Level_For_Branch_Transaction
25005 No_Active_SQL_Transaction_For_Branch_Transaction
25006 Read_Only_SQL_Transaction
25007 Schema_And_Data_Statement_Mixing_Not_Supported
25P01 No_Active_SQL_Transaction
25P02 In_Failed_SQL_Transaction
26000 Invalid_SQL_Statement_Name
27000 Triggered_Data_Change_Violation
28000 Invalid_Authorization_Specification
2B000 Dependent_Privilege_Descriptors_Still_Exist
2BP01 Dependent_Objects_Still_Exist
2D000 Invalid_Transaction_Termination
2F000 SRE_SQL_Routine_Exception
2F005 SRE_Function_Executed_No_Return_Statement
2F002 SRE_Modifying_SQL_Data_Not_Permitted
2F003 SRE_Prohibited_SQL_Statement_Attempted
2F004 SRE_Reading_SQL_Data_Not_Permitted
34000 Invalid_Cursor_Name
38000 ERE_External_Routine_Exception
38001 ERE_Containing_SQL_Not_Permitted
38002 ERE_Modifying_SQL_Data_Not_Permitted
38003 ERE_Prohibited_SQL_Statement_Attempted
38004 ERE_Reading_SQL_Data_Not_Permitted
39000 ERI_External_Routine_Invocation_Exception
39001 ERI_Invalid_SQLstate_Returned
39004 ERI_Null_Value_Not_Allowed
39P01 ERI_Trigger_Protocol_Violated
39P02 ERI_SRF_Protocol_Violated
3B000 Savepoint_Exception
3B001 Invalid_Savepoint_Specification
3D000 Invalid_Catalog_Name
3F000 Invalid_Schema_Name
40000 Transaction_Rollback
40002 Transaction_Integrity_Constraint_Violation
40001 Serialization_Failure
40003 Statement_Completion_Unknown
40P01 Deadlock_Detected
42000 Syntax_Error_Or_Access_Rule_Violation
42601 Syntax_Error
42501 Insufficient_Privilege
42846 Cannot_Coerce
42803 Grouping_Error
42830 Invalid_Foreign_Key
42602 Invalid_Name
42622 Name_Too_Long
42939 Reserved_Name
42804 Datatype_Mismatch
42P18 Indeterminate_Datatype
42809 Wrong_Object_Type
42703 Undefined_Column
42883 Undefined_Function
42P01 Undefined_Table
42P02 Undefined_Parameter
42704 Undefined_Object
42701 Duplicate_Column
42P03 Duplicate_Cursor
42P04 Duplicate_Database
42723 Duplicate_Function
42P05 Duplicate_Prepared_Statement
42P06 Duplicate_Schema
42P07 Duplicate_Table
42712 Duplicate_Alias
42710 Duplicate_Object
42702 Ambiguous_Column
42725 Ambiguous_Function
42P08 Ambiguous_Parameter
42P09 Ambiguous_Alias
42P10 Invalid_Column_Reference
42611 Invalid_Column_Definition
42P11 Invalid_Cursor_Definition
42P12 Invalid_Database_Definition
42P13 Invalid_Function_Definition
42P14 Invalid_Prepared_Statement_Definition
42P15 Invalid_Schema_Definition
42P16 Invalid_Table_Definition
42P17 Invalid_Object_Definition
44000 With_Check_Option_Violation
53000 Insufficient_Resources
53100 Disk_Full
53200 Out_Of_Memory
53300 Too_Many_Connections
54000 Program_Limit_Exceeded
54001 Statement_Too_Complex
54011 Too_Many_Columns
54023 Too_Many_Arguments
55000 Object_Not_In_Prerequisite_State
55006 Object_In_Use
55P02 Cant_Change_Runtime_Param
55P03 Lock_Not_Available
57000 Operator_Intervention
57014 Query_Canceled
57P01 Admin_Shutdown
57P02 Crash_Shutdown
57P03 Cannot_Connect_Now
58030 IO_Error
58P01 Undefined_File
58P02 Duplicate_File
F0000 Config_File_Error
F0001 Lock_File_Exists
P0000 Plpgsql_Error
P0001 Raise_Exception
P0002 No_Data_Found
P0003 Too_Many_Rows
XX000 Internal_Error
XX001 Data_Corrupted
XX002 Index_Corrupted
ZZZZZ Unknown_Error
